2974,01-01-2014,bottled water,whipped/sour cream,berries 
3956,01-01-2014,chocolate,waffles,shopping bags,yogurt 
3681,01-01-2014,dishes,whipped/sour cream,onions 
2610,01-01-2014,domestic eggs,bottled beer,hamburger meat 
3942,01-01-2014,Instant food products,yogurt,other vegetables 
1659,01-01-2014,frozen vegetables,specialty chocolate 
1381,01-01-2014,soda,curd 
2542,01-01-2014,bottled water,sliced cheese 
4260,01-01-2014,brown bread,soda 
3797,01-01-2014,whole milk,waffles 
2709,01-01-2014,frozen vegetables,yogurt 
4942,01-01-2014,frozen vegetables,butter 
2237,01-01-2014,Instant food products,bottled water 
1789,01-01-2014,candles,hamburger meat 
2727,01-01-2014,frozen potato products,hamburger meat 
1440,01-01-2014,yogurt,other vegetables 
1249,01-01-2014,coffee,citrus fruit 
2943,01-01-2014,flower (seeds),whole milk 
1922,01-01-2014,other vegetables,tropical fruit 
2226,01-01-2014,bottled water,sausage 
2351,01-01-2014,shopping bags,cleaner 
1422,01-01-2015,salty snack,turkey,tropical fruit 
1220,01-01-2015,chocolate,margarine,canned beer 
3751,01-01-2015,dishes,whole milk,citrus fruit,whipped/sour cream,frankfurter 
2768,01-01-2015,pot plants,salt,pip fruit,meat,tropical fruit 
2851,01-01-2015,fruit/vegetable juice,brown bread,canned beer,white bread,whole milk 
1798,01-01-2015,curd,pastry,beef 
3026,01-01-2015,bottled water,soda,tropical fruit,citrus fruit 
1235,01-01-2015,spread cheese,bottled beer,sausage,sausage 
2127,01-01-2015,pickled vegetables,pork 
4439,01-01-2015,tropical fruit,butter 
4104,01-01-2015,soda,dessert 
3240,01-01-2015,whole milk,citrus fruit 
4537,01-01-2015,brown bread,ham 
2211,01-01-2015,pastry,butter 
2641,01-01-2015,other vegetables,frozen meals 
4616,01-01-2015,hamburger meat,canned beer 
3259,01-02-2014,dishes,soda 
1365,01-02-2014,specialty bar,frozen vegetables 
2043,01-02-2014,brown bread,waffles 
3120,02-01-2014,newspapers,whole milk,beef 
4933,01-02-2014,bottled water,hard cheese 
3692,01-02-2014,misc. beverages,frozen dessert 
1870,01-02-2014,napkins,fruit/vegetable juice 
3977,01-02-2014,frozen meals,oil,butter milk,brown bread 
4907,01-02-2014,bottled beer,whipped/sour cream,rolls/buns 
1265,01-02-2014,soda,whole milk,other vegetables 
2202,02-01-2014,sauces,coffee 
2475,02-01-2014,dishes,roll products  
3156,02-01-2014,soda,whipped/sour cream 
1965,02-01-2014,yogurt,chewing gum 
4847,01-02-2014,other vegetables,soda 
2480,01-02-2014,pickled vegetables,citrus fruit 
1248,01-02-2014,butter,chicken 
4746,02-01-2014,newspapers,margarine 
3663,02-01-2014,roll products ,frozen vegetables,rolls/buns 
2755,02-01-2014,whole milk,fruit/vegetable juice,beef 
3758,02-01-2014,rolls/buns,domestic eggs,rolls/buns 
4014,01-02-2014,shopping bags,soda 
3130,01-02-2014,yogurt,ice cream 
4666,01-02-2014,dessert,frozen vegetables 
1066,01-02-2014,bottled beer,root vegetables 
1809,02-01-2014,waffles,hard cheese,root vegetables 
3220,02-01-2014,salty snack,canned beer 
2690,02-01-2014,grapes,rolls/buns 
3805,02-01-2014,white bread,semi-finished bread 
4316,02-01-2014,candy,tropical fruit 
2717,02-01-2014,fruit/vegetable juice,fruit/vegetable juice 
3243,02-01-2014,pot plants,whole milk 
1878,02-01-2014,dessert,root vegetables 
4527,02-01-2014,curd,brown bread 
4140,02-01-2014,newspapers,curd 
4887,02-01-2014,soap,long life bakery product 
3107,02-01-2014,whole milk,rolls/buns 
4548,02-01-2014,other vegetables,UHT-milk 
4247,02-01-2014,butter,soda 
1175,02-01-2014,other vegetables,hamburger meat 
4255,02-01-2014,margarine,frankfurter 
4364,01-02-2014,yogurt,brown bread 
3520,02-01-2015,shopping bags,canned beer,other vegetables 
2383,02-01-2015,specialty chocolate,yogurt,flower soil/fertilizer 
4147,02-01-2015,cat food,newspapers,bottled beer,white wine,citrus fruit 
2051,02-01-2015,cocoa drinks,domestic eggs,photo/film 
3754,02-01-2015,margarine,whole milk,pip fruit 
3086,02-01-2015,whole milk,brown bread,pork,pip fruit 
1206,02-01-2015,cat food,sausage 
2384,02-01-2015,tropical fruit,chicken 
4933,02-01-2015,bottled water,sausage 
3064,02-01-2015,other vegetables,pork 
3178,01-02-2014,candy,butter 
2311,01-02-2014,canned beer,pastry 
3682,02-01-2015,shopping bags,citrus fruit 
2271,02-01-2015,mayonnaise,rolls/buns 
3510,02-01-2015,whole milk,frankfurter 
3641,01-02-2014,soft cheese,root vegetables 
2828,01-02-2014,curd,meat 
4450,01-02-2014,condensed milk,beef 
3538,01-02-2014,yogurt,waffles 
2020,01-02-2014,fruit/vegetable juice,beef 
1528,01-02-2014,tropical fruit,frozen vegetables 
3746,03-01-2014,butter,meat spreads 
1335,03-01-2014,oil,domestic eggs,dishes,waffles 
4860,01-02-2014,cream cheese ,sugar 
2279,03-01-2014,soda,pot plants,curd,long life bakery product 
1814,01-02-2014,sparkling wine,frankfurter 
4408,01-02-2014,frozen fish,pip fruit 
2472,01-02-2014,white bread,other vegetables 
1339,03-01-2014,margarine,other vegetables 
3737,03-01-2014,shopping bags,instant coffee 
1658,03-01-2014,flour,citrus fruit 
2595,03-01-2014,chewing gum,rolls/buns 
2514,03-01-2014,whole milk,soda 
4822,03-01-2014,yogurt,ice cream 
4406,01-02-2015,artif. sweetener,whole milk,domestic eggs 
4304,01-02-2015,sugar,pip fruit,canned beer 
3365,01-02-2015,canned beer,newspapers,whole milk,whole milk,root vegetables 
2942,01-02-2015,oil,flower (seeds),whole milk,waffles,brown bread,pork,sausage 
3037,01-02-2015,white bread,whole milk,other vegetables 
2935,03-01-2014,processed cheese,rolls/buns 
1362,03-01-2014,mustard,tropical fruit 
1864,03-01-2014,butter,oil 
2085,03-01-2014,domestic eggs,soda 
3517,03-01-2014,brown bread,curd 
1764,03-01-2014,salty snack,honey 
1483,03-01-2014,dessert,pastry 
3495,01-02-2015,oil,pork,whole milk,canned beer 
2763,01-02-2015,canned fish,yogurt,yogurt,pork 
2944,01-02-2015,processed cheese,cream cheese ,yogurt,long life bakery product,yogurt,beef,sausage,tropical fruit 
3897,01-02-2015,UHT-milk,soda 
4625,03-01-2014,whipped/sour cream,white bread 
3841,01-02-2015,other vegetables,ham 
2553,01-02-2015,tropical fruit,whole milk 
4146,03-01-2014,root vegetables,dessert 
2785,01-02-2015,beef,frozen meals 
4664,03-01-2014,rolls/buns,beef 
1241,03-01-2014,margarine,oil 
2602,03-01-2014,whole milk,frankfurter 
4668,01-02-2015,frozen vegetables,other vegetables 
2612,01-02-2015,tropical fruit,pip fruit 
3455,01-02-2015,other vegetables,canned beer 
3337,01-02-2015,liver loaf,whole milk 
1164,01-02-2015,sliced cheese,other vegetables 
